Name,Value.tag,Value.patterns,Value.responses,Value.context
intents,greeting,Hi there,Hello Thanks for asking,
intents,greeting,Hi there,Hey!,
intents,greeting,Hi there,Good to see you again,
intents,greeting,Hi there,Welcome!,
intents,greeting,Hi there,Hello. How can I help?,
intents,greeting,How are you,Hello Thanks for asking,
intents,greeting,How are you,Hey!,
intents,greeting,How are you,Good to see you again,
intents,greeting,How are you,Welcome!,
intents,greeting,How are you,Hello. How can I help?,
intents,greeting,Is anyone there?,Hello Thanks for asking,
intents,greeting,Is anyone there?,Hey!,
intents,greeting,Is anyone there?,Good to see you again,
intents,greeting,Is anyone there?,Welcome!,
intents,greeting,Is anyone there?,Hello. How can I help?,
intents,greeting,Hey,Hello Thanks for asking,
intents,greeting,Hey,Hey!,
intents,greeting,Hey,Good to see you again,
intents,greeting,Hey,Welcome!,
intents,greeting,Hey,Hello. How can I help?,
intents,greeting,Hola,Hello Thanks for asking,
intents,greeting,Hola,Hey!,
intents,greeting,Hola,Good to see you again,
intents,greeting,Hola,Welcome!,
intents,greeting,Hola,Hello. How can I help?,
intents,greeting,Hello,Hello Thanks for asking,
intents,greeting,Hello,Hey!,
intents,greeting,Hello,Good to see you again,
intents,greeting,Hello,Welcome!,
intents,greeting,Hello,Hello. How can I help?,
intents,greeting,Good day,Hello Thanks for asking,
intents,greeting,Good day,Hey!,
intents,greeting,Good day,Good to see you again,
intents,greeting,Good day,Welcome!,
intents,greeting,Good day,Hello. How can I help?,
intents,greeting,Happy day,Hello Thanks for asking,
intents,greeting,Happy day,Hey!,
intents,greeting,Happy day,Good to see you again,
intents,greeting,Happy day,Welcome!,
intents,greeting,Happy day,Hello. How can I help?,
intents,greeting,Hi,Hello Thanks for asking,
intents,greeting,Hi,Hey!,
intents,greeting,Hi,Good to see you again,
intents,greeting,Hi,Welcome!,
intents,greeting,Hi,Hello. How can I help?,
intents,greeting,What's up?,Hello Thanks for asking,
intents,greeting,What's up?,Hey!,
intents,greeting,What's up?,Good to see you again,
intents,greeting,What's up?,Welcome!,
intents,greeting,What's up?,Hello. How can I help?,
intents,greeting,how are you,Hello Thanks for asking,
intents,greeting,how are you,Hey!,
intents,greeting,how are you,Good to see you again,
intents,greeting,how are you,Welcome!,
intents,greeting,how are you,Hello. How can I help?,
intents,new_help_desk_ticket,How can I submit a new help desk ticket?,Through help desk Mail Id or help desk portal,
intents,new_help_desk_ticket,How do I go about creating a new help desk ticket?,Through help desk Mail Id or help desk portal,
intents,new_help_desk_ticket,What is the process for submitting a fresh help desk ticket?,Through help desk Mail Id or help desk portal,
intents,new_help_desk_ticket,Can you guide me on how to initiate a new help desk ticket?,Through help desk Mail Id or help desk portal,
intents,new_help_desk_ticket,In what way can I formally request assistance through a help desk ticket?,Through help desk Mail Id or help desk portal,
intents,new_help_desk_ticket,What steps do I need to follow to generate a new help desk ticket?,Through help desk Mail Id or help desk portal,
intents,new_help_desk_ticket,Could you provide instructions on how to start a new help desk ticket?,Through help desk Mail Id or help desk portal,
intents,new_help_desk_ticket,What is the procedure for logging a new help desk ticket?,Through help desk Mail Id or help desk portal,
intents,new_help_desk_ticket,Is there a specific way I should go about opening a help desk ticket?,Through help desk Mail Id or help desk portal,
