tag,patterns,responses,context
greeting,Hi there| How are you| Is anyone there?| Hey| Hola| Hello| Good day| Happy day| Hi| What's up?| how are you,"Hello, thanks for asking| Hey!| Good to see you again| Welcome!| Hello I am good, how can I help?",
new_help_desk_ticket,How can I submit a new help desk ticket?| How do I go about creating a new help desk ticket?| What is the process for submitting a fresh help desk ticket?| Can you guide me on how to initiate a new help desk ticket?| In what way can I formally request assistance through a help desk ticket?| What steps do I need to follow to generate a new help desk ticket?| Could you provide instructions on how to start a new help desk ticket?| What is the procedure for logging a new help desk ticket?| Is there a specific way I should go about opening a help desk ticket?| Can you share the steps involved in submitting a help desk ticket for assistance?| How can I officially raise a request by creating a help desk ticket?,Through help desk Mail Id or help desk portal,
mail_id,Through help desk Mail Id or help desk portal| What is the email address for the help desk?| Could you provide the mail ID for the help desk?| What is the email contact for the help desk?| How can I reach the help desk via email?| What email should I use to contact the help desk?| Can you share the help desk's email ID with me?| How do I find the mail ID for the help desk?| What is the designated email address for help desk inquiries?| May I have the email information for the help desk?| Could you let me know the email ID to contact the help desk?,helpdesk@srmtech.com,
track_status,How to track my ticket status?| What is the process for monitoring the status of my ticket?| Can you guide me on checking the progress of my ticket?| How do I keep tabs on the status of my submitted ticket?| Is there a way to stay informed about the current status of my ticket?| What steps should I take to track the status of my ticket?,Once the ticket has been created you can either login to help desk portal or simply click on 'view ticket' from the mail you have received,
existing_ticket,How do I check the status of my existing ticket?| Can you guide me on how to verify the status of my existing ticket?| How can I find out the current status of the ticket I've already submitted?| Is there a way to check the progress of my existing ticket?,Can see in help desk portal,
required_information,What information should I include when submitting a help desk ticket?| What details are required when I submit a help desk ticket?| Can you guide me on the necessary information for a help desk ticket submission?| What specific information should be included when creating a help desk ticket?| Are there particular details I need to provide when submitting a help desk request?| What information is essential for a complete help desk ticket submission?,"BU, phone, subject, description of your issue, priority level, classification",
resolution_time,When will my ticket be solved?| How long does it typically take for help desk ticket to be resolved?| What is the expected resolution time for my ticket?| Can you provide an estimate of when my ticket will be resolved?| When can I anticipate the resolution of my submitted ticket?| Is there a timeframe for resolving my ticket issue?| How soon can I expect my ticket to be addressed and resolved?,Depends on priority levels.,
attachments_screenshots,Can I add attachments or screenshots to my help desk ticket?| Is there an option to include attachments or screenshots when creating a help desk ticket?| Can I upload files or screenshots along with my help desk ticket submission?| Is it possible to attach additional documents or screenshots to my help desk ticket?| Are there provisions for including attachments or screen captures with my help desk request?| Can I supplement my help desk ticket with attachments or screenshots for more context?,"Yes, you can. In help desk portal there is an attachment option, there u can add your attachments nd screenshots",
update_existing_ticket,How can I provide additional information or updates to an existing ticket?| What is the procedure for adding extra details or updates to an already submitted ticket?| Can you guide me on how to include additional information or updates to an existing ticket?| Is there a way to supplement an existing ticket with extra information or updates?| How can I provide further details or updates to a ticket that I've already submitted?| What steps should I take to append additional information or updates to an existing ticket?,"Through help desk portal, in that you can update your existing ticket. In view option you can see multiple sub-options of your raised tickets",
feedback,How can I provide feedback the support I received for my help desk ticket?| What is the process for giving feedback on the support received for my help desk ticket?| How can I share my feedback regarding the assistance received for my help desk ticket?| Can you guide me on offering feedback for the help I received with my help desk ticket?,In the help desk portal you can see the feedback option in that you can provide your feedback.,
goodbye,"Bye| See you later| Goodbye| Nice chatting to you, bye| I am leaving| Have a Good Day| Till next time",See you!| Have a nice day| Bye! Come back again soon.,
thanks,"Thanks| Thank you| That's helpful| Awesome, thanks| Thanks for helping me",Happy to help!| Any time!| My pleasure,
noanswer,,"Sorry, can't understand you| please provide more context or details so that I can better understand and help you| Not sure I understand",
